#{"t_start": 1582659054.1616294, "env_id": "nailbot-v0"}
r,l,t
12.621951,11,487.408794
15.779209,11,488.402067
11.767705,11,489.342539
11.111649,11,490.318558
11.463754,11,491.318209
14.096964,11,492.246214
14.618892,11,493.193626
15.199689,11,494.226686
14.475416,11,495.205263
20.18369,11,496.443673
11.336395,11,497.3599
13.386309,11,498.292888
20.700226,11,499.279805
11.649658,11,500.165096
10.883026,11,501.114887
14.615701,11,502.115179
14.557169,11,503.12354
11.632319,11,504.013002
11.717844,11,504.936796
15.060667,11,505.964084
11.221062,11,506.985741
10.609637,11,508.048248
11.925439,11,509.123009
16.876975,11,509.924269
24.80263,11,510.923393
18.706561,11,511.927486
14.769972,11,512.869573
30.259946,11,513.930903
12.079074,11,514.884833
12.691232,11,515.82607
11.569856,11,516.77712
14.326604,11,517.768233
22.343569,11,519.011446
23.867489,11,519.959541
11.936493,11,520.873544
12.212141,11,521.799136
13.074044,11,522.801621
14.40657,11,523.76686
26.422001,11,524.784314
11.470226,11,525.768966
13.522359,11,526.681411
18.653569,11,527.647456
28.403582,11,528.608269
14.122446,11,529.526181
20.366774,11,530.533967
14.233171,11,531.500447
25.576231,11,532.520936
12.688812,11,533.516675
14.606925,11,534.487577
15.067635,11,535.476968
12.399666,11,536.377864
13.236876,11,537.338538
13.988386,11,538.279874
12.02429,11,539.191586
12.802984,11,540.115954
16.49404,11,541.071896
11.404684,11,542.156487
11.937153,11,542.985321
13.784152,11,543.959451
13.863465,11,544.915794
12.774356,11,545.991492
11.831472,11,547.083389
11.847879,11,548.067181
22.834476,11,548.939479
14.287094,11,549.931815
15.237232,11,550.867395
19.483941,11,551.855573
12.025054,11,552.923395
14.003215,11,553.982863
13.916498,11,554.913673
19.812946,11,555.93544
14.124185,11,556.941694
16.856399,11,557.970064
13.54796,11,559.08696
13.481443,11,560.23461
11.539909,11,561.381669
11.585786,11,562.481858
11.704568,11,563.491575
14.531331,11,564.540902
28.675922,11,565.797436
14.467721,11,566.782028
15.398372,11,567.753327
15.724996,11,568.713794
11.35691,11,569.549828
12.66453,11,570.477226
12.890557,11,571.271223
11.84106,11,572.248033
12.641635,11,573.199813
29.167329,11,574.243735
16.933971,11,575.167072
12.930582,11,576.144609
13.038157,11,577.100107
11.606242,11,578.058101
13.940493,11,579.061747
11.816473,11,579.965235
12.992334,11,580.954728
16.03878,11,582.015111
14.32186,11,583.050689
18.254406,11,584.003523
20.306526,11,585.009415
14.663044,11,586.004082
12.455896,11,586.914725
15.78373,11,588.064249
18.042748,11,589.05382
15.549796,11,590.077931
10.704245,11,591.086321
11.703022,11,591.99502
11.447406,11,592.92937
16.357277,11,594.003563
18.687759,11,595.032688
11.770801,11,596.063364
15.099923,11,597.078696
29.234753,11,598.127115
13.372231,11,599.151514
10.848043,11,599.961004
26.670414,11,600.973624
17.523992,11,601.954375
10.941822,11,602.96701
14.75687,11,603.93053
11.516364,11,604.802772
14.999296,11,605.805131
22.868646,11,606.89938
13.521637,11,607.939308
13.479186,11,609.046369
12.538932,11,610.14893
13.316269,11,611.41046
15.304071,11,612.591072
13.962065,11,613.672344
15.647305,11,614.625283
30.422667,11,615.601446
13.856167,11,616.581944
11.819491,11,617.528877
47.837176,11,618.529625
16.034934,11,619.521229
13.270748,11,620.516199
